"datetime","artist","title"
"2024-02-23 20:22:52","H_art the Band","Na Bado (Thursday) [feat. Nyashinski]"
"2024-02-22 21:24:02","H_art the Band","Na Bado (Thursday) [feat. Nyashinski]"
"2024-02-24 17:13:06","Ayra Starr","Commas"
"2024-02-23 13:39:52","DJ Tunzy","Love In the Air"
"2024-02-24 00:29:58","ItsYaba","Yaba (Jatelo)"
"2024-02-23 23:19:13","Wakadinali","Eye contact (feat. Domani & Scar)"
"2024-02-24 00:07:04","Sauti Sol","Isabella"
"2024-02-23 23:05:28","DJ CECIL 254","Kuna Kuna (Mix)"
"2024-02-24 02:00:25","Joshua Baraka","NANA"
"2024-02-23 23:52:44","""Sarz, Asake & Gunna""","Happiness"
